rank,id,name,wedge,final,market_fit,timing,white_space,ship_from_luffy,hub71_fit,moat_path,buyer_urgency,ACV_path,legal_safe,compound,verdict
1,C2,Hybrid SAST→agent validator (SARIF trust),False-positive kill layer,4.800,5,5,5,4,5,5,5,4,5,5,Best pure product wedge
2,C4,Torii Plane — agentic coding security control plane,Secure AI coding agents,4.720,5,5,5,4,5,5,4,5,4,5,Best platform / +AI narrative
3,C1,PR/CI security gate agent,DevSecOps PR gate,4.680,5,5,4,5,5,4,5,4,5,5,Best ship-first wedge
4,AGENT_GOV,Enterprise agent fleet governance,Agent security ops,4.280,5,5,4,3,5,4,4,5,3,5,Strong Hub71; ship later
5,C6,IaC / cloud policy review agent,IaC PR security,3.680,4,4,3,4,4,3,4,3,5,3,Add-on not company
6,C9b,Continuous AI pentest (phase-2 limited),AI red team continuous,3.580,5,5,3,2,4,2,4,5,3,4,Hot but capital-heavy phase-2
7,C3,Repo-level autonomous security audit,Continuous repo audit,3.560,4,4,3,3,4,3,4,4,4,3,Overlaps C1/C2
8,C5,Secrets + supply-chain PR agent,SCA/secrets at PR,3.520,4,4,2,4,4,2,5,3,5,3,Commodity features
9,C7,Auto-patch agent with build/test loop,Autonomous remediation,3.420,4,4,3,3,3,3,4,4,3,4,Trust hard
10,LLM_RT,LLM/app red-team as a service,AI red team SaaS,3.380,4,5,3,2,4,3,3,4,3,3,Services gravity
11,ASPM_L,ASPM aggregation lite,ASPM dashboard,3.300,4,5,2,2,4,2,4,4,5,3,Wrong start
12,GEN_PR,Generic AI PR review (quality-first),CodeRabbit clone,3.120,4,4,1,5,3,1,4,3,5,2,Red ocean avoid
13,SEC1_CLONE,Full autonomous AppSec platform day-1,All-in-one AI AppSec,2.920,4,4,2,2,3,2,3,4,3,4,Narrative OK product clone no
