rank,id,name,family,final,grade,pmf,hub,ship,legal,joint,triple,build,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,E1,E2,E4,F1,F2,F3
1,C1,"Torii Gate — PR/CI security gate",cyber-luffy,4.6500,A,5.000,3.917,5.000,5.000,4.458,4.639,YES,5,5,5,5,5,4,5,4,4,4,4,5,4,5,2,2,4,5,5,5,3,5,5,5
2,LUFFY_PLAT,"Torii (platform) — Gate → Trust → Plane",cyber-luffy,4.5450,A,4.800,4.000,4.200,5.000,4.400,4.333,YES,5,4,5,5,5,4,5,5,4,4,4,5,3,5,2,3,4,4,5,5,4,5,5,5
3,C2,"Torii Trust — hybrid SAST→agent validator",cyber-luffy,4.4000,A,4.600,3.917,4.000,5.000,4.258,4.172,YES,5,4,4,5,5,4,5,4,4,4,4,5,3,5,2,3,4,4,4,5,4,5,5,5
4,W2,"Commerce integration reliability (break/heal)",reliability,4.2500,B,4.800,3.583,5.000,5.000,4.192,4.461,YES,4,5,5,5,5,5,4,4,3,4,4,5,4,4,1,1,4,5,2,2,3,5,5,5
5,C4,"Torii Plane — agentic coding security control plane",cyber-luffy,4.2000,B,4.400,3.750,3.800,4.333,4.075,3.983,YES,5,3,4,5,5,4,5,5,3,3,4,5,3,5,2,3,3,4,4,4,4,4,4,5
6,W1,"General agent production control plane (non-security-first)",reliability,4.1700,B,4.800,3.583,4.200,4.333,4.192,4.194,YES,5,4,5,5,5,4,5,5,3,3,4,5,3,5,1,2,3,4,3,3,3,4,4,5
7,W4,"Support-agent eval / regression suite",reliability,4.0600,B,4.600,3.167,5.000,5.000,3.883,4.256,YES,4,5,5,5,4,3,4,3,3,3,4,4,4,5,1,1,3,5,2,3,3,5,5,5
8,C6,"IaC / cloud policy review agent",cyber,3.8550,C,4.000,3.333,4.000,5.000,3.667,3.778,YES,4,4,4,4,4,3,4,4,3,3,4,4,3,4,2,3,3,4,4,3,3,5,5,5
9,C5,"Secrets + supply-chain PR agent",cyber,3.8500,C,4.600,2.917,4.400,5.000,3.758,3.972,YES,4,5,5,5,4,3,3,3,3,3,4,4,4,3,1,1,3,4,4,3,2,5,5,5
10,AGENT_GOV,"Enterprise agent fleet governance (policy/inventory/audit)",agent-sec,3.8200,C,4.200,3.667,3.000,3.333,3.933,3.622,NO,5,3,3,5,5,4,5,5,3,3,4,5,2,5,2,3,3,3,3,3,4,3,3,4
11,C3,"Repo-level autonomous security audit agent",cyber,3.7250,C,3.800,3.333,3.000,4.333,3.567,3.378,NO,5,3,3,4,4,4,4,4,3,3,4,4,2,5,2,2,3,3,4,5,3,4,4,5
12,W3,"B2B collections / cash-recovery agent",vertical-agent,3.6950,C,4.600,3.083,5.000,3.667,3.842,4.228,YES,4,5,5,5,4,3,3,3,3,4,4,3,4,4,1,1,4,5,1,2,2,3,3,5
13,GEN_PR,"Generic AI PR review (quality-first / CodeRabbit-like)",devtool,3.6150,C,4.000,2.583,4.800,5.000,3.292,3.794,YES,4,4,5,4,3,2,2,2,2,3,4,3,4,4,1,1,3,5,5,2,1,5,5,5
14,I6,"India–GCC trade docs + working capital AI",fintech-corridor,3.3300,D,3.600,3.750,3.000,2.667,3.675,3.450,NO,4,3,3,4,4,3,4,5,3,5,4,4,3,4,2,3,5,3,1,2,3,3,2,3
15,C9b,"Continuous AI pentest (limited phase-2 / proof mode)",cyber-offense,3.2650,D,3.800,3.333,2.400,2.667,3.567,3.178,NO,5,3,3,4,4,4,5,4,2,3,4,4,2,5,2,2,3,2,2,4,2,2,2,4
16,API_AGENT,"Self-maintaining API agent (doola cart name / generic)",generic,3.2050,D,3.200,2.667,3.800,4.667,2.933,3.222,YES,3,3,4,3,3,2,3,2,2,3,4,3,4,4,1,1,3,4,3,2,2,4,5,5
17,C7,"Auto-patch agent with build/test loop",cyber,3.1600,D,3.200,2.833,2.200,4.000,3.017,2.744,NO,4,2,3,4,3,3,4,3,2,3,4,3,2,5,1,1,3,2,3,5,3,3,4,5
18,S5,"Data-center cooling/water optimizer",climate,3.1500,D,3.200,3.500,2.000,4.000,3.350,2.900,NO,5,2,2,4,3,5,5,5,2,3,4,3,2,3,5,2,3,2,1,3,3,4,4,4
19,ASPM_L,"ASPM aggregation lite (dashboard of findings)",aspm,3.1000,D,3.400,2.833,2.400,5.000,3.117,2.878,NO,4,3,3,4,3,3,4,3,2,3,4,4,2,3,1,2,3,2,2,2,2,5,5,5
20,LLM_RT,"LLM / app red-team as a service",cyber-offense,3.0100,D,3.400,3.000,2.400,2.667,3.200,2.933,NO,4,3,3,4,3,3,4,3,2,3,4,3,3,5,1,2,3,2,2,3,3,2,2,4
21,SEC1_CLONE,"Full autonomous AppSec / red-team platform day-1 (Sec1-style)",cyber-offense,3.0050,D,3.200,3.250,2.000,2.667,3.225,2.817,NO,5,2,2,3,4,4,5,4,2,3,4,3,2,5,2,2,3,2,2,3,2,2,2,4
22,S4,"AI radiology / diagnostic capacity",health,2.9500,F,3.200,4.167,1.400,1.333,3.683,2.922,NO,5,2,2,3,4,5,5,5,2,5,4,3,2,5,5,4,5,1,1,4,2,1,1,2
23,DA,"RWA / tokenized finance rails",web3,2.6900,F,3.200,3.583,1.400,1.667,3.392,2.728,NO,5,2,2,3,4,5,5,5,2,3,4,3,2,2,5,4,3,1,1,2,2,2,1,2
24,GEN,"Generic multi-purpose AI agent platform",generic,2.6450,F,2.400,2.083,3.400,4.667,2.242,2.628,YES,3,2,3,2,2,1,3,1,1,2,4,2,3,4,1,1,2,4,2,2,1,4,5,5
25,SAVI,"Smart mobility / fleet digital twin",mobility,2.5550,F,2.400,3.333,1.200,3.000,2.867,2.311,NO,4,1,2,2,3,5,4,5,1,2,4,3,2,4,5,3,2,1,1,2,2,3,3,3
